cell_type	COMET_0003M1	COMET_0005M1	COMET_0008M2	COMET_0027M1	COMET_0071M1	COMET_0111M1	COMET_0122M2	COMET_0134	COMET_0138	COMET_0145	COMET_0151	COMET_0169	COMET_0172	COMET_0182	COMET_0190M3	COMET_0192	COMET_0233M2	COMET_0255	COMET_0272	COMET_0277M1	Lme_0015	Lme_0017	Lme_0027M1_1	Lme_0033M1_2	Lme_0042M1_2	Lme_0047M1_2	Lme_0072M1_2	Lme_0078M1_1	Lme_0081M1_1	Lme_0087	Lme_0098	Lme_0110	Lme_0067	Lme_0101	Lme_0095	PC_0234M1	PC_0256M1	PC_0422M1	PC_0574M1	PC_0344M1
B cell	0.08891323702234893	0.12457637286964646	0.08757343830126156	0.1082032663766664	0.08945126126989825	0.09757530961320418	0.08767122038570418	0.08112658780101549	0.09552460100139927	0.10204811098266073	0.08447757056395684	0.10339327147951882	0.08768710763884315	0.0927425655470099	0.0932831507464614	0.07970303861078656	0.09290271930536091	0.08743473991173058	0.08607251734022273	0.08490996157990988	0.09803971718701096	0.09796259837848127	0.11523317713307155	0.08599233864504863	0.1057027248409981	0.10910497688302506	0.09818306054791646	0.08571340801381765	0.08733253263609152	0.06604132905234529	0.07907368218883763	0.09673781032411628	0.12332568581937207	0.11021437291831127	0.08786958709207604	0.07933481408970615	0.09090192962170203	0.09009110557431566	0.08778860592178257	0.10534879735259182
T cell CD4+	0.12514891154874366	0.10441015014392661	0.12123771935497316	0.11404433289347786	0.11801553108434461	0.12410645880317976	0.12276843845286002	0.1273518646242807	0.12463246979946427	0.12120479001042177	0.12256005150532873	0.12746300189834647	0.11992245158066128	0.13434934409098945	0.1271560141840405	0.12045705320727447	0.12213719371345995	0.11776692874546997	0.12127260036663359	0.12601094594546214	0.11651430116258703	0.11889370988989843	0.11106210920858135	0.11909704262993587	0.12587366166914318	0.12513914902137988	0.11137224875462427	0.13115182128825897	0.1251922603564353	0.12201210567580908	0.12088280456007326	0.13414702497320175	0.12230181598259449	0.13378823440655602	0.12637578481880346	0.12066366328619989	0.12621499465372502	0.13776908127366297	0.134172066088602	0.10676042544347775
T cell CD8+	0.22239306777098966	0.22398390355441447	0.19415919833102252	0.19765800400173905	0.21103442636981495	0.19645717393851025	0.19604161430564399	0.2035009943797739	0.19861011901858214	0.22308468649087887	0.20491592274883874	0.1963193283255878	0.20013802876099	0.18625141093309303	0.19689209105111066	0.20834676308480596	0.2060022420148443	0.2120198782533276	0.19894848064230988	0.19795624306220985	0.20002033509300282	0.20031770166282706	0.1998186611887377	0.21591726330507763	0.2037118928763256	0.20288139975559003	0.20890918622928994	0.22015333567509723	0.1995853820315531	0.20529554354054677	0.2053868172319139	0.21508052789647425	0.2265415178817096	0.20538605145399375	0.20413632598040124	0.22875184061610837	0.2156081619207669	0.2171762894760321	0.20034039905323128	0.22164948222202213
Neutrophil	0.133236186632655	0.11648577971509269	0.1256427654601886	0.11388704234456912	0.12196440548657266	0.11864650113782654	0.1204880081372723	0.12276999651280436	0.11974339447850363	0.12826244457918431	0.1183055752339228	0.1208581375585834	0.11724152799516853	0.11896564154859766	0.12352213157974598	0.13002220244365223	0.12692168248842858	0.12272222865575223	0.12140248384626875	0.1172188737401245	0.11967677922578056	0.11656176815723943	0.11827289910274899	0.12197945773662211	0.11828523588713272	0.12224773820103897	0.11933174022918341	0.1291627154073757	0.12951192972540743	0.12426839270833484	0.14159393961603037	0.12530406790959894	0.12251492474740637	0.12458496693230499	0.12465261707123958	0.13747225260875	0.12369669370789976	0.13631501406696436	0.13180702089084761	0.11748303544766157
Macrophage	0.04745606008717251	0.030171412866234426	0.03518177709191753	0.04490209039178157	0.05557567419858151	0.042263325141275176	0.027228911638753822	0.038732784087347226	0.0358547359681246	0.04995525111878955	0.041562580246973485	0.022033052056370656	0.04784607924786696	0.027304796323587958	0.0422587734384743	0.0896568969099536	0.047571596513730406	0.036339206466436416	0.03405492210394077	0.033109561750926594	0.03074885734061077	0.031066496523081112	0.07675240557132662	0.02913405010266869	0.039040042731936495	0.026840740290726816	0.03857015094766123	0.04225303380138306	0.029019992653816256	0.026558481448190258	0.02237196520722995	0.05472121304696913	0.0464577847574174	0.06664815574519019	0.03274446720575211	0.04490883907645468	0.03935248316628758	0.10313070806509425	0.049525766857598075	0.06565828890131063
Myeloid dendritic cell	0.5268454898825194	0.519067101121788	0.49802639655332775	0.521430225469729	0.5188707933211278	0.5011989992218432	0.48115090289703905	0.49233142451220263	0.4789542003237732	0.5307633095433932	0.500458094663759	0.5272460510458273	0.46247008024433556	0.47603841518309886	0.49069328837334025	0.5374710462956067	0.48791795188331166	0.4927799284283988	0.49100846608691684	0.48578679294055066	0.4950935978392082	0.48858537597129176	0.5531442583236724	0.5144462147375638	0.4860055896656281	0.5134329370573796	0.4994034314997771	0.4984383905915891	0.49118176284158377	0.5456981757352148	0.5179918774610336	0.5360183356224201	0.5068556061947355	0.5148586724184409	0.4929208860425539	0.5510343314309512	0.5388303417445891	0.5604286150071658	0.5266328775212653	0.5552442508643449
