cell_type	PC_310	PC_161	PC_31	PCB_234	PCB_536	PC_292	PCB_594	PC_244	PC_142	PC_95	PC_201	PC_224	PCM_92	PC_301	PC_150	PC_102	PC_48	PCB_49	PC_330	PCB_714	PC_501	PC_497	PC_108	PC_160	PC_227	PCB_600	PC_284	PC_334	PC_66	PC_72	PC_83	PC_279
B cell	1.672535279826098e-4	0.0013102444933449607	1.4886039601896007e-7	5.262975307734531e-6	5.48813051501113e-5	2.6130567721091667e-5	5.513989788562168e-8	0.0036312057772910516	5.46720973477466e-4	0.0038132844957008997	4.902576680306847e-9	1.7488003873877803e-4	6.335285438965815e-4	9.332958078803173e-4	9.57486139857864e-5	0.0034024843625742036	1.5381446295826802e-4	4.271898070705881e-4	1.958103197692878e-4	6.087830771334279e-4	5.194276574391965e-4	3.4004356897711046e-5	7.529120889963024e-5	0.0020813481825419696	3.7629556742132083e-4	3.0879625908819064e-4	0.004630684664205383	5.50351370780305e-4	0.0019009383698427547	9.498375021664398e-4	0.0013531089528221278	2.5374777562204323e-4
Cancer associated fibroblast	0.06731864577482466	0.017766314151605272	0.045110645257822476	0.03376526078670383	0.008364405347442193	0.1700662006999949	0.0374557657240767	0.1264540774391641	0.027627620064580513	0.10288729753999522	0.036289951035685206	0.015675529499749267	0.09038661548349751	0.0035272156029619896	0.19899131221978758	0.09461770240887786	0.0034556479351334135	0.003220933223513802	0.026423164145707893	0.00261151934665869	0.0221435802414374	0.023777984590442544	0.04860099756175769	0.051778560062328595	0.01979634215591304	0.003526281674307985	0.057119562476209106	0.06271663083727132	0.0875689416123091	0.43167856614450056	0.08171549702329796	0.034800669363358766
T cell CD4+	0.011509830145409869	0.02273604176640466	0.023965851495838866	0.031158267265296233	0.04230623103165819	0.017668308896704288	0.07743063986200067	0.02147064375689639	0.034620509126423345	0.02515267473513846	0.04645584748964721	0.06339488653505604	0.02877381050713076	0.05375121407860916	0.04648120396006064	0.051873897897095574	0.03662995375327898	0.014191659200706875	0.020214298488754067	0.019299487461590423	0.027233809313905087	0.02863260031561963	0.02185060333261854	0.03574119320254055	0.022491153200602434	0.014144198815768779	0.023778037851839108	0.022238788248966343	0.034515556763974116	0.0010338247972767657	0.016315179254823807	0.02054979737503237
T cell CD8+	0.003245279859233417	0.014482632546100901	0.0071547625955278235	0.007888931249134737	0.011104299296018782	2.454335241728998e-7	0.01084581119528322	0.019292778044245413	0.011266579979308258	0.027438742282242298	0.004801286760980471	0.005490901637887633	0.011682906052842269	0.006283156858758259	0.0015537647686253869	0.01483350047079355	0.005908992505628587	0.006442921462583481	0.010617352572908464	0.00989973931238968	0.0064965312341226005	0.026930556104802203	0.02184042893692185	0.0075004327644245285	0.019227334012307484	0.007703308451166835	0.019333074797661828	0.010477622043471201	0.0164132242666157	1.6303333991447346e-5	0.02701025476602122	0.007713466084652782
Endothelial cell	0.01374453283675885	0.006239480019437907	0.008483573007484266	0.02629652318569804	0.01711240752199618	0.02843620437107379	0.02086071605118307	0.026770216138699968	0.0058707503700586895	0.04111737923944941	0.007683873065194282	0.007740176965502126	0.03102000316693865	0.01405525572996873	0.03314226836196703	0.061608378460835875	0.007825784060114267	0.015820974146980533	0.006537308572373843	0.006220780706583095	0.010237580984484681	0.009790653127522453	0.010884871553007285	0.016559712008566794	0.009507578141125345	0.011616561884704652	0.016200471567154498	0.015839217632860225	0.09735027117027567	0.04419982645331408	0.010553067886510736	0.012252059283682873
Macrophage	0.0033968262877174605	0.005724979411968654	0.016335901974188848	0.010814842728710647	0.0028413274739681155	0.006325877336544125	0.009188952301174308	0.014445419514519284	0.0024467103383870857	0.01218892639763836	0.0035740522376652302	0.0020697759195947604	0.0077756669969134	0.0013022960021487051	0.0113024683604147	0.011385737296600126	0.003431159734072439	5.811732824803184e-4	0.0011076571208727534	6.377956374748929e-4	0.005573212824540754	0.0020972315328656077	0.005822011654657174	0.0019307837465774805	0.0020801340893033017	7.253436487893733e-4	0.008695830517541333	0.007409502451363034	0.011321765282693375	0.005228130996287795	0.008569007537362191	0.0024070411722175566
NK cell	1.472504653545968e-9	5.316924044928902e-10	1.1768281357820321e-4	1.0094573744131411e-9	1.8230946504097388e-10	1.3491897982911523e-7	4.948716197126016e-7	1.1723220826003623e-9	2.1291512739930775e-10	9.777433525959695e-9	2.0862008192092995e-8	3.991810893508491e-10	1.8277497016721544e-8	6.759815366021826e-11	2.7102982863732143e-9	4.551711184293077e-9	3.9452018625150715e-4	1.4099985504953744e-11	2.8587264262321972e-8	1.61966811633994e-12	5.319285982929395e-10	3.254854770450355e-10	6.137027008249105e-10	2.3452070453216773e-9	8.75507233076942e-10	8.907086323850307e-12	2.0026589041874375e-9	9.409025966726741e-8	4.1210745284468735e-9	2.79117292834083e-4	1.2601414366228264e-7	7.768983917085429e-10
uncharacterized cell	0.9006176300955685	0.9317403070794452	0.8988314339951635	0.8900709107996915	0.918216447841457	0.7774768977754578	0.8442175648547644	0.7879356581568617	0.9176211089348495	0.7874016855324018	0.9011949636462427	0.9054538490042903	0.8297274509712838	0.9201475658520747	0.7084332310048607	0.7622782945515115	0.9422001273625625	0.9593151488625645	0.9349043801923493	0.96072189445655	0.9277958572121418	0.9087369696463643	0.8909257951384352	0.884407967687813	0.9265211619578199	0.961975509257267	0.8702423361227299	0.880767793325028	0.7509292984132148	0.5166143934796288	0.8544837585650183	0.9220232181685352
