cell_type	PC_310	PC_161	PC_31	PCB_234	PCB_536	PC_292	PCB_594	PC_244	PC_142	PC_95	PC_201	PC_224	PCM_92	PC_301	PC_150	PC_102	PC_48	PCB_49	PC_330	PCB_714	PC_501	PC_497	PC_108	PC_160	PC_227	PCB_600	PC_284	PC_334	PC_66	PC_72	PC_83	PC_279
B cell	0.08522287033765583	0.17082159347753006	0.1136017275588759	0.09887270917971737	0.08709671101029881	0.08349988080046244	0.08194757368946336	0.10084489802266483	0.10604057611440205	0.08846987267275334	0.08762736579366778	0.09355826495339926	0.07633819032472523	0.09192449090972908	0.08574189985189212	0.08719307904677823	0.08965359884876184	0.08920387654283253	0.0837286474760944	0.09747832440940352	0.08343449597770906	0.0769821859608407	0.08206516203312385	0.08897742901467355	0.08572571419847536	0.09306714556282812	0.12451117464661283	0.08412397823775117	0.1132976823401474	0.08642744490458938	0.08965819980560252	0.08523285479733297
T cell CD4+	0.12256178710938308	0.09743441505343003	0.10762799719885449	0.11943487680963519	0.12291177887706645	0.12666200518059623	0.125872935464471	0.11555188780677789	0.1292997429546049	0.1288611029184415	0.1264290058051799	0.1296564918110911	0.11035977707964055	0.12676907981839283	0.12797642603278225	0.12101224703435383	0.11952534051986145	0.1225010529998559	0.1189435612014419	0.12633397496339502	0.12519155626270698	0.12236812336449923	0.12417447521136613	0.1245774089848725	0.1078896027409604	0.12650902731188327	0.12133971420642149	0.12139100521124598	0.11992604750362093	0.12299337500916467	0.13258623388105986	0.12322203937406642
T cell CD8+	0.2045822946626979	0.19394338889823196	0.20418620732425094	0.19458634569685637	0.20378644070409507	0.20773004615401705	0.20080516153556394	0.21775095589565668	0.21000736278833812	0.22548018084909116	0.18918613751204955	0.19748733309832764	0.23554173973038703	0.20166125215203154	0.21413481122387912	0.21540785014734967	0.19225558629541617	0.19242392696427768	0.21560081720141805	0.20013955215569906	0.1940125698118141	0.20136515473633548	0.21302171295408187	0.206356929056578	0.22825883108887174	0.19762195310572417	0.21289162095683636	0.22254332038684424	0.2162990608945748	0.222110335411758	0.23465419205614998	0.19916335142197866
Neutrophil	0.11861406130666935	0.12619199232207384	0.11821623894217374	0.11990719311533013	0.1256213049411608	0.12393099207505687	0.12279825599111818	0.129978838883272	0.12598604905570054	0.12923926519137768	0.12015239135466273	0.12319569718451144	0.12470686244818377	0.12179807659026223	0.12242770715272303	0.12699654469663138	0.1454092206454923	0.11796485086300076	0.1262101540231568	0.11824216445364705	0.12130800977484932	0.12366514932458923	0.12520307202471473	0.12267585628115739	0.12301078136392063	0.11875829956112795	0.11757483018452411	0.1376580372330532	0.12452971701386135	0.1262884849975017	0.1271485206314038	0.11821315762070009
Macrophage	0.047368857447282746	0	0.04679009108919966	0.04351371251107964	0.03808868224844597	0.04032691892453019	0.04574810919532507	0.04602102593680626	0.03939934214993462	0.07574994695551138	0.028108952723272383	0.029081530752140504	0.04680737121297802	0.04406033835601206	0.07708820037379707	0.037728386819291984	0.015312880221426399	0.025954143200489617	0.04064341196000678	0.04373433299078171	0.030077139478012233	0.032877187447052716	0.04303398175565177	0.04768092916797403	0.03957427287709938	0.0315722575548371	0.045648432461322816	0.04160052614171468	0.06757296990068133	0.07306597597235409	0.0809286785345355	0.030914776043084746
Myeloid dendritic cell	0.49758573628849945	0.600091386894277	0.5394458248007473	0.4998495294267725	0.4958384264540074	0.5322759106512448	0.530516114325098	0.5452588827465662	0.49924588662049346	0.49127618762486747	0.48414812268198637	0.4860016013821136	0.5422039588766666	0.4814136150441799	0.5127888257911282	0.55744537271068	0.4955704062339281	0.47453403207958345	0.4931829902857277	0.46960844268587526	0.4906830133000748	0.5004752549063927	0.5241550545885296	0.48468757939135354	0.5040949118792506	0.47621223875822644	0.5431135976009347	0.5496339880013399	0.541674895786016	0.5034995282613112	0.49896968281328774	0.49363108485068224
